"species","pp","ala_stat"
"Panicum bisulcatum","C3","native"
"Panicum bombycinum","C4","native"
"Panicum buncei","C4","native"
"Panicum chillagoanum","C4","native"
"Panicum decompositum","C4","native"
"Panicum effusum","C4","native"
"Panicum incomtum","C3","native"
"Panicum lachnophyllum","C3","native"
"Panicum laevinode","C4","native"
"Panicum larcomianum","C4","native"
"Panicum latzii","C4","native"
"Panicum luzonense","C4","native"
"Panicum mindanaense","C4","native"
"Panicum mitchellii","C4","native"
"Panicum obseptum","C4","native"
"Panicum paludosum","C4","native"
"Panicum pygmaeum","C3","native"
"Panicum queenslandicum","C4","native"
"Panicum repens","C4","native"
"Panicum seminudum","C4","native"
"Panicum simile","C4","native"
"Panicum trachyrhachis","C4","native"
"Panicum trichoides","C4","native"
